（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和6年5月23日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
松江地区,松江市,53330083,118,150,
松江地区,松江市,53330084,137,174,
松江地区,松江市,53330085,126,160,
松江地区,松江市,53330086,120,152,
松江地区,松江市,53330087,114,145,
松江地区,松江市,53330088,124,158,
松江地区,松江市,53330089,120,153,
松江地区,松江市,53330090,109,139,
松江地区,松江市,53330091,109,139,
松江地区,松江市,53330092,110,140,
松江地区,松江市,53330093,113,144,
松江地区,松江市,53330094,120,152,
松江地区,松江市,53330095,120,152,
松江地区,松江市,53330096,119,151,
松江地区,松江市,53330097,119,151,
松江地区,松江市,53330098,124,158,
松江地区,松江市,53330099,125,159,
松江地区,松江市,53330140,119,151,
松江地区,松江市,53330150,114,145,
松江地区,松江市,53330160,116,147,
松江地区,松江市,53330161,116,148,
松江地区,松江市,53330162,116,147,
松江地区,松江市,53330170,122,155,
松江地区,松江市,53330171,123,156,
松江地区,松江市,53330172,127,161,
松江地区,松江市,53330173,125,159,
松江地区,松江市,53330180,116,147,
松江地区,松江市,53330181,121,154,
松江地区,松江市,53330182,121,154,
松江地区,松江市,53330183,124,158,
松江地区,松江市,53330190,124,158,
松江地区,松江市,53330191,120,152,
松江地区,松江市,53330192,125,159,
松江地区,松江市,53330193,125,159,
松江地区,松江市,53331000,105,133,
松江地区,松江市,53331001,109,139,
松江地区,松江市,53331002,115,146,
松江地区,松江市,53331003,112,142,
松江地区,松江市,53331004,128,163,
松江地区,松江市,53331005,123,156,
松江地区,松江市,53331006,119,151,
松江地区,松江市,53331007,119,151,
松江地区,松江市,53331008,119,151,
松江地区,松江市,53331009,119,151,
松江地区,松江市,53331010,114,145,
松江地区,松江市,53331011,114,145,
松江地区,松江市,53331012,115,146,
松江地区,松江市,53331013,116,147,
松江地区,松江市,53331014,122,155,
松江地区,松江市,53331015,117,149,
松江地区,松江市,53331016,119,151,
松江地区,松江市,53331017,113,144,
松江地区,松江市,53331018,109,138,
松江地区,松江市,53331019,113,144,
松江地区,松江市,53331020,125,－,
松江地区,松江市,53331021,125,159,
松江地区,松江市,53331022,120,153,
松江地区,松江市,53331023,111,141,
松江地区,松江市,53331024,112,142,
松江地区,松江市,53331025,113,144,
松江地区,松江市,53331026,120,152,
松江地区,松江市,53331027,109,139,
松江地区,松江市,53331028,104,132,
松江地区,松江市,53331029,103,131,
松江地区,松江市,53331033,120,－,
松江地区,松江市,53331034,119,151,
松江地区,松江市,53331035,115,146,
松江地区,松江市,53331036,116,147,
松江地区,松江市,53331037,105,134,
松江地区,松江市,53331038,109,139,
松江地区,松江市,53331039,109,138,
松江地区,松江市,53331043,120,－,
松江地区,松江市,53331044,114,145,
松江地区,松江市,53331045,115,146,
松江地区,松江市,53331046,116,147,
松江地区,松江市,53331047,114,145,
松江地区,松江市,53331048,114,145,
松江地区,松江市,53331049,109,138,
松江地区,松江市,53331052,100,127,
松江地区,松江市,53331053,111,141,
松江地区,松江市,53331054,120,－,
松江地区,松江市,53331055,105,133,
松江地区,松江市,53331056,109,139,
松江地区,松江市,53331057,113,144,
松江地区,松江市,53331058,113,144,
松江地区,松江市,53331059,108,137,
松江地区,松江市,53331060,108,137,
