（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和4年5月26日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
高知中央,高知市,50333323,234,317,
高知中央,高知市,50333324,234,317,
高知中央,高知市,50333325,236,319,
高知中央,高知市,50333326,236,320,
高知中央,高知市,50333327,238,322,
高知中央,高知市,50333328,239,323,
高知中央,高知市,50333329,239,324,
高知中央,高知市,50333333,238,322,
高知中央,高知市,50333334,237,321,
高知中央,高知市,50333335,239,323,
高知中央,高知市,50333336,188,255,
高知中央,高知市,50333337,239,324,
高知中央,高知市,50333338,240,325,
高知中央,高知市,50333339,202,274,
高知中央,高知市,50333342,239,324,
高知中央,高知市,50333343,240,325,
高知中央,高知市,50333344,202,274,
高知中央,高知市,50333345,241,326,
高知中央,高知市,50333346,198,268,
高知中央,高知市,50333347,240,325,
高知中央,高知市,50333348,241,326,
高知中央,高知市,50333349,242,328,
高知中央,高知市,50333352,242,328,
高知中央,高知市,50333353,242,328,
高知中央,高知市,50333354,244,330,
高知中央,高知市,50333355,242,328,
高知中央,高知市,50333356,243,329,
高知中央,高知市,50333357,243,329,
高知中央,高知市,50333358,242,328,
高知中央,高知市,50333359,243,329,
高知中央,高知市,50333362,244,330,
高知中央,高知市,50333363,245,332,
高知中央,高知市,50333364,245,332,
高知中央,高知市,50333365,245,332,
高知中央,高知市,50333366,245,332,
高知中央,高知市,50333367,245,332,
高知中央,高知市,50333368,247,334,
高知中央,高知市,50333369,247,334,
高知中央,高知市,50333372,242,328,
高知中央,高知市,50333373,245,332,
高知中央,高知市,50333374,201,272,
高知中央,高知市,50333375,245,332,
高知中央,高知市,50333376,246,333,
高知中央,高知市,50333377,248,336,
高知中央,高知市,50333378,250,338,
高知中央,高知市,50333379,206,279,
高知中央,高知市,50333382,243,329,
高知中央,高知市,50333383,245,332,
高知中央,高知市,50333384,244,331,
高知中央,高知市,50333385,245,332,
高知中央,高知市,50333386,248,336,
高知中央,高知市,50333387,251,340,
高知中央,高知市,50333388,253,342,
高知中央,高知市,50333389,256,347,
高知中央,高知市,50333394,245,332,
高知中央,高知市,50333395,244,331,
高知中央,高知市,50333396,247,335,
高知中央,高知市,50333397,251,340,
高知中央,高知市,50333398,254,344,
高知中央,高知市,50333399,258,349,
高知中央,高知市,50333400,224,303,
高知中央,高知市,50333401,233,315,
高知中央,高知市,50333402,241,326,
高知中央,高知市,50333403,218,295,
高知中央,高知市,50333404,225,305,
高知中央,高知市,50333405,224,304,
高知中央,高知市,50333406,222,300,
高知中央,高知市,50333407,219,297,
高知中央,高知市,50333408,217,294,
高知中央,高知市,50333410,237,321,
高知中央,高知市,50333411,236,320,
高知中央,高知市,50333412,224,304,
高知中央,高知市,50333413,230,312,
高知中央,高知市,50333414,220,298,
高知中央,高知市,50333415,229,310,
高知中央,高知市,50333416,227,308,
高知中央,高知市,50333420,240,325,
高知中央,高知市,50333421,241,326,
高知中央,高知市,50333422,240,325,
高知中央,高知市,50333423,238,322,
高知中央,高知市,50333424,236,319,
高知中央,高知市,50333425,235,318,
高知中央,高知市,50333430,242,328,
高知中央,高知市,50333431,236,319,
高知中央,高知市,50333432,244,330,
高知中央,高知市,50333433,242,328,
高知中央,高知市,50333434,240,325,
高知中央,高知市,50333435,240,325,
高知中央,高知市,50333440,246,333,
高知中央,高知市,50333441,249,337,
高知中央,高知市,50333442,248,336,
高知中央,高知市,50333443,246,333,
高知中央,高知市,50333444,244,331,
高知中央,高知市,50333445,244,331,
高知中央,高知市,50333450,248,336,
高知中央,高知市,50333451,251,340,
高知中央,高知市,50333452,252,341,
高知中央,高知市,50333453,250,339,
高知中央,高知市,50333454,248,336,
高知中央,高知市,50333455,247,334,
高知中央,高知市,50333460,218,295,
高知中央,高知市,50333461,254,344,
高知中央,高知市,50333462,257,348,
高知中央,高知市,50333463,254,344,
高知中央,高知市,50333464,251,340,
高知中央,高知市,50333465,248,336,
高知中央,高知市,50333466,247,335,
高知中央,高知市,50333470,253,342,
高知中央,高知市,50333471,256,347,
高知中央,高知市,50333472,257,348,
高知中央,高知市,50333473,232,314,
高知中央,高知市,50333474,256,347,
高知中央,高知市,50333475,253,343,
高知中央,高知市,50333480,257,348,
高知中央,高知市,50333481,259,351,
高知中央,高知市,50333482,260,352,
高知中央,高知市,50333483,262,355,
高知中央,高知市,50333484,260,352,
高知中央,高知市,50333485,259,351,
高知中央,高知市,50333490,260,352,
高知中央,高知市,50333491,262,355,
高知中央,高知市,50333492,265,359,
高知中央,高知市,50333493,266,360,
高知中央,高知市,50333494,266,360,
高知中央,高知市,50334305,244,330,
高知中央,高知市,50334400,260,352,
高知中央,高知市,50334401,264,358,
高知中央,高知市,50334402,269,364,
高知中央,高知市,50334411,264,357,
高知中央,南国市,50332428,210,284,
高知中央,南国市,50332429,210,285,
高知中央,南国市,50332438,211,286,
高知中央,南国市,50332439,213,289,
高知中央,南国市,50332449,216,292,
高知中央,南国市,50332459,194,263,
高知中央,南国市,50332469,199,269,
高知中央,南国市,50332489,205,278,
高知中央,南国市,50332499,211,286,
高知中央,南国市,50332520,215,－,
高知中央,南国市,50332530,215,291,
高知中央,南国市,50332531,214,290,
高知中央,南国市,50332532,273,－,
高知中央,南国市,50332533,273,－,
高知中央,南国市,50332534,273,－,
高知中央,南国市,50332540,216,292,
高知中央,南国市,50332541,216,292,
高知中央,南国市,50332542,273,－,
高知中央,南国市,50332543,273,－,
高知中央,南国市,50332544,273,－,
高知中央,南国市,50332550,193,261,
高知中央,南国市,50332551,236,320,
高知中央,南国市,50332552,273,－,
高知中央,南国市,50332553,273,－,
高知中央,南国市,50332554,273,－,
高知中央,南国市,50332560,195,264,
高知中央,南国市,50332561,195,264,
高知中央,南国市,50332562,273,－,
高知中央,南国市,50332563,273,－,
高知中央,南国市,50332564,273,－,
高知中央,南国市,50332570,198,268,
高知中央,南国市,50332571,198,268,
高知中央,南国市,50332572,273,－,
高知中央,南国市,50332573,273,－,
高知中央,南国市,50332580,253,－,
高知中央,南国市,50332581,202,273,
高知中央,南国市,50332582,273,－,
高知中央,南国市,50332583,273,－,
高知中央,南国市,50332584,273,－,
高知中央,南国市,50332590,210,284,
高知中央,南国市,50332591,253,342,
高知中央,南国市,50332592,273,－,
高知中央,南国市,50332593,273,－,
高知中央,南国市,50332594,273,－,
高知中央,南国市,50333409,273,－,
高知中央,南国市,50333417,225,305,
高知中央,南国市,50333418,270,366,
高知中央,南国市,50333419,222,301,
高知中央,南国市,50333426,234,317,
高知中央,南国市,50333427,232,314,
高知中央,南国市,50333428,229,310,
高知中央,南国市,50333429,229,310,
高知中央,南国市,50333436,286,387,
高知中央,南国市,50333437,239,323,
高知中央,南国市,50333438,236,319,
高知中央,南国市,50333439,234,317,
高知中央,南国市,50333446,241,327,
高知中央,南国市,50333447,241,326,
高知中央,南国市,50333448,239,324,
高知中央,南国市,50333449,227,308,
高知中央,南国市,50333456,245,332,
高知中央,南国市,50333457,245,332,
高知中央,南国市,50333458,243,329,
高知中央,南国市,50333459,242,328,
高知中央,南国市,50333467,247,334,
高知中央,南国市,50333468,247,334,
高知中央,南国市,50333469,246,333,
高知中央,南国市,50333476,253,342,
高知中央,南国市,50333477,251,340,
高知中央,南国市,50333478,233,315,
高知中央,南国市,50333479,251,340,
高知中央,南国市,50333486,257,348,
高知中央,南国市,50333487,257,348,
高知中央,南国市,50333488,254,344,
高知中央,南国市,50333489,256,346,
高知中央,南国市,50333495,263,356,
高知中央,南国市,50333496,261,354,
高知中央,南国市,50333497,261,353,
高知中央,南国市,50333498,258,349,
高知中央,南国市,50333499,259,351,
高知中央,南国市,50333500,273,－,
高知中央,南国市,50333501,213,289,
高知中央,南国市,50333502,273,－,
高知中央,南国市,50333503,273,－,
高知中央,南国市,50333510,222,300,
高知中央,南国市,50333511,273,－,
高知中央,南国市,50333512,273,－,
高知中央,南国市,50333513,273,－,
高知中央,南国市,50333520,193,262,
高知中央,南国市,50333521,273,－,
高知中央,南国市,50333522,219,296,
高知中央,南国市,50333523,216,292,
高知中央,南国市,50333530,230,312,
高知中央,南国市,50333531,210,285,
高知中央,南国市,50333532,273,－,
高知中央,南国市,50333540,235,318,
高知中央,南国市,50333541,233,316,
高知中央,南国市,50333542,196,266,
高知中央,南国市,50333550,239,324,
高知中央,南国市,50333551,238,322,
高知中央,南国市,50333552,236,319,
高知中央,南国市,50333560,234,317,
高知中央,南国市,50333561,242,328,
高知中央,南国市,50333562,241,326,
高知中央,南国市,50333570,250,338,
高知中央,南国市,50333571,248,336,
高知中央,南国市,50333572,245,332,
高知中央,南国市,50333580,256,346,
高知中央,南国市,50333581,255,345,
高知中央,南国市,50333582,250,339,
高知中央,南国市,50333590,259,351,
高知中央,南国市,50334405,269,364,
高知中央,南国市,50334406,267,361,
高知中央,南国市,50334407,266,360,
高知中央,南国市,50334408,265,359,
高知中央,南国市,50334415,273,369,
高知中央,南国市,50334416,270,366,
高知中央,南国市,50334417,267,362,
高知中央,南国市,50334418,266,360,
高知中央,南国市,50334425,275,372,
高知中央,南国市,50334426,272,368,
高知中央,南国市,50334427,269,364,
高知中央,南国市,50334428,269,364,
高知中央,南国市,50334436,270,365,
高知中央,南国市,50334437,269,364,
高知中央,土佐市,50331225,241,327,
高知中央,土佐市,50331235,245,332,
高知中央,土佐市,50331236,242,328,
高知中央,土佐市,50331237,239,324,
高知中央,土佐市,50331244,222,301,
高知中央,土佐市,50331245,223,302,
高知中央,土佐市,50331246,245,332,
高知中央,土佐市,50331247,243,329,
高知中央,土佐市,50331248,239,323,
高知中央,土佐市,50331249,234,317,
高知中央,土佐市,50331255,224,304,
高知中央,土佐市,50331256,191,259,
高知中央,土佐市,50331257,246,333,
高知中央,土佐市,50331258,183,248,
高知中央,土佐市,50331259,236,320,
高知中央,土佐市,50331265,224,304,
高知中央,土佐市,50331266,225,305,
高知中央,土佐市,50331267,246,333,
高知中央,土佐市,50331268,242,328,
高知中央,土佐市,50331269,239,323,
高知中央,土佐市,50331276,224,303,
高知中央,土佐市,50331277,219,297,
高知中央,土佐市,50331278,243,329,
高知中央,土佐市,50331279,239,324,
高知中央,土佐市,50331286,223,302,
高知中央,土佐市,50331287,222,300,
高知中央,土佐市,50331288,174,236,
