（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和6年5月23日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
広島・呉,広島市安佐南区,51325266,87,118,
広島・呉,広島市安佐南区,51325267,88,119,
広島・呉,広島市安佐南区,51325268,88,120,
広島・呉,広島市安佐南区,51325269,88,120,
広島・呉,広島市安佐南区,51325276,88,119,
広島・呉,広島市安佐南区,51325277,88,119,
広島・呉,広島市安佐南区,51325278,88,120,
広島・呉,広島市安佐南区,51325279,88,119,
広島・呉,広島市安佐南区,51325286,87,118,
広島・呉,広島市安佐南区,51325287,88,119,
広島・呉,広島市安佐南区,51325288,88,119,
広島・呉,広島市安佐南区,51325289,87,118,
広島・呉,広島市安佐南区,51325297,87,118,
広島・呉,広島市安佐南区,51325298,87,118,
広島・呉,広島市安佐南区,51325299,87,118,
広島・呉,広島市安佐南区,51325313,86,117,
広島・呉,広島市安佐南区,51325314,86,117,
広島・呉,広島市安佐南区,51325315,86,117,
広島・呉,広島市安佐南区,51325316,87,118,
広島・呉,広島市安佐南区,51325321,86,117,
広島・呉,広島市安佐南区,51325322,86,117,
広島・呉,広島市安佐南区,51325323,85,116,
広島・呉,広島市安佐南区,51325324,86,117,
広島・呉,広島市安佐南区,51325325,87,118,
広島・呉,広島市安佐南区,51325326,87,118,
広島・呉,広島市安佐南区,51325327,86,117,
広島・呉,広島市安佐南区,51325331,86,117,
広島・呉,広島市安佐南区,51325332,86,117,
広島・呉,広島市安佐南区,51325333,86,117,
広島・呉,広島市安佐南区,51325334,86,117,
広島・呉,広島市安佐南区,51325335,87,118,
広島・呉,広島市安佐南区,51325336,87,118,
広島・呉,広島市安佐南区,51325337,87,118,
広島・呉,広島市安佐南区,51325338,86,117,
広島・呉,広島市安佐南区,51325340,87,118,
広島・呉,広島市安佐南区,51325341,87,118,
広島・呉,広島市安佐南区,51325342,86,117,
広島・呉,広島市安佐南区,51325343,86,117,
広島・呉,広島市安佐南区,51325344,87,118,
広島・呉,広島市安佐南区,51325345,87,118,
広島・呉,広島市安佐南区,51325346,87,118,
広島・呉,広島市安佐南区,51325347,87,118,
広島・呉,広島市安佐南区,51325348,86,117,
広島・呉,広島市安佐南区,51325350,87,118,
広島・呉,広島市安佐南区,51325351,87,118,
広島・呉,広島市安佐南区,51325352,86,117,
広島・呉,広島市安佐南区,51325353,86,117,
広島・呉,広島市安佐南区,51325354,87,118,
広島・呉,広島市安佐南区,51325355,87,118,
広島・呉,広島市安佐南区,51325356,87,118,
広島・呉,広島市安佐南区,51325357,86,117,
広島・呉,広島市安佐南区,51325358,86,117,
広島・呉,広島市安佐南区,51325360,88,119,
広島・呉,広島市安佐南区,51325361,87,118,
広島・呉,広島市安佐南区,51325362,87,118,
広島・呉,広島市安佐南区,51325363,87,118,
広島・呉,広島市安佐南区,51325364,87,118,
広島・呉,広島市安佐南区,51325365,87,118,
広島・呉,広島市安佐南区,51325366,87,118,
広島・呉,広島市安佐南区,51325367,87,118,
広島・呉,広島市安佐南区,51325368,86,117,
広島・呉,広島市安佐南区,51325369,87,118,
広島・呉,広島市安佐南区,51325370,87,118,
広島・呉,広島市安佐南区,51325371,87,118,
広島・呉,広島市安佐南区,51325372,87,118,
広島・呉,広島市安佐南区,51325373,87,118,
広島・呉,広島市安佐南区,51325374,87,118,
広島・呉,広島市安佐南区,51325375,87,118,
広島・呉,広島市安佐南区,51325376,88,119,
広島・呉,広島市安佐南区,51325377,87,118,
広島・呉,広島市安佐南区,51325378,87,118,
広島・呉,広島市安佐南区,51325379,88,119,
広島・呉,広島市安佐南区,51325380,87,118,
広島・呉,広島市安佐南区,51325383,87,118,
広島・呉,広島市安佐南区,51325384,87,118,
広島・呉,広島市安佐南区,51325385,87,118,
広島・呉,広島市安佐南区,51325386,88,119,
広島・呉,広島市安佐南区,51325388,87,118,
広島・呉,広島市安佐南区,51325389,87,118,
広島・呉,広島市安佐南区,51325390,88,119,
広島・呉,広島市安佐南区,51325399,87,118,
広島・呉,広島市安佐南区,51325480,88,120,
広島・呉,広島市安佐南区,51325490,88,120,
広島・呉,広島市安佐南区,51326207,86,117,
広島・呉,広島市安佐南区,51326208,86,117,
広島・呉,広島市安佐南区,51326209,87,118,
広島・呉,広島市安佐南区,51326217,87,118,
広島・呉,広島市安佐南区,51326218,86,117,
広島・呉,広島市安佐南区,51326219,87,118,
広島・呉,広島市安佐南区,51326300,88,120,
広島・呉,広島市安佐南区,51326309,87,118,
広島・呉,広島市安佐南区,51326319,87,118,
広島・呉,広島市安佐南区,51326400,88,119,
広島・呉,広島市安佐北区,51325339,87,118,
広島・呉,広島市安佐北区,51325349,86,117,
広島・呉,広島市安佐北区,51325359,86,117,
広島・呉,広島市安佐北区,51325381,87,118,
広島・呉,広島市安佐北区,51325382,88,120,
広島・呉,広島市安佐北区,51325387,87,118,
広島・呉,広島市安佐北区,51325391,88,120,
広島・呉,広島市安佐北区,51325392,88,120,
広島・呉,広島市安佐北区,51325393,87,118,
広島・呉,広島市安佐北区,51325394,87,118,
広島・呉,広島市安佐北区,51325395,87,118,
広島・呉,広島市安佐北区,51325396,88,119,
広島・呉,広島市安佐北区,51325397,87,118,
広島・呉,広島市安佐北区,51325398,87,118,
広島・呉,広島市安佐北区,51325430,88,119,
広島・呉,広島市安佐北区,51325435,87,118,
広島・呉,広島市安佐北区,51325436,87,118,
広島・呉,広島市安佐北区,51325440,87,118,
広島・呉,広島市安佐北区,51325441,87,118,
広島・呉,広島市安佐北区,51325445,87,118,
広島・呉,広島市安佐北区,51325446,88,119,
広島・呉,広島市安佐北区,51325447,87,118,
広島・呉,広島市安佐北区,51325450,87,118,
広島・呉,広島市安佐北区,51325451,87,118,
広島・呉,広島市安佐北区,51325452,87,118,
広島・呉,広島市安佐北区,51325453,87,118,
広島・呉,広島市安佐北区,51325454,87,118,
広島・呉,広島市安佐北区,51325455,87,118,
広島・呉,広島市安佐北区,51325456,88,119,
広島・呉,広島市安佐北区,51325457,87,118,
広島・呉,広島市安佐北区,51325460,87,118,
広島・呉,広島市安佐北区,51325461,88,120,
広島・呉,広島市安佐北区,51325462,88,119,
広島・呉,広島市安佐北区,51325463,87,118,
広島・呉,広島市安佐北区,51325464,87,118,
広島・呉,広島市安佐北区,51325465,87,118,
広島・呉,広島市安佐北区,51325466,88,120,
広島・呉,広島市安佐北区,51325467,88,119,
広島・呉,広島市安佐北区,51325470,88,120,
広島・呉,広島市安佐北区,51325471,88,119,
広島・呉,広島市安佐北区,51325472,88,119,
広島・呉,広島市安佐北区,51325473,87,118,
広島・呉,広島市安佐北区,51325474,87,118,
広島・呉,広島市安佐北区,51325475,88,119,
広島・呉,広島市安佐北区,51325476,88,120,
広島・呉,広島市安佐北区,51325477,88,120,
広島・呉,広島市安佐北区,51325478,87,118,
広島・呉,広島市安佐北区,51325481,88,120,
広島・呉,広島市安佐北区,51325482,88,120,
広島・呉,広島市安佐北区,51325483,87,118,
広島・呉,広島市安佐北区,51325484,87,118,
広島・呉,広島市安佐北区,51325485,88,120,
広島・呉,広島市安佐北区,51325486,88,120,
広島・呉,広島市安佐北区,51325487,88,120,
広島・呉,広島市安佐北区,51325491,88,120,
広島・呉,広島市安佐北区,51325492,88,119,
広島・呉,広島市安佐北区,51325493,87,118,
広島・呉,広島市安佐北区,51325494,87,118,
広島・呉,広島市安佐北区,51325495,87,118,
広島・呉,広島市安佐北区,51325496,88,119,
広島・呉,広島市安佐北区,51325497,88,119,
広島・呉,広島市安佐北区,51325498,87,118,
広島・呉,広島市安佐北区,51325499,86,117,
広島・呉,広島市安佐北区,51326228,86,117,
広島・呉,広島市安佐北区,51326229,86,117,
広島・呉,広島市安佐北区,51326238,86,117,
