prefecture_code,prefecture_name,sort_order,enabled
shiga,滋賀県,10,1
kyoto,京都府,20,1
osaka,大阪府,30,1
hyogo,兵庫県,40,1
nara,奈良県,50,1
wakayama,和歌山県,60,1
