（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和5年3月9日現在
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）
紀北,和歌山市,51343739,129,－
紀北,和歌山市,51351184,109,157
紀北,和歌山市,51351194,109,157
紀北,和歌山市,51351195,114,164
紀北,和歌山市,51352078,－,－
紀北,和歌山市,51352079,132,－
紀北,和歌山市,51352088,－,－
紀北,和歌山市,51352089,132,－
紀北,和歌山市,51352098,132,－
紀北,和歌山市,51352099,132,－
紀北,和歌山市,51352104,114,－
紀北,和歌山市,51352105,114,164
紀北,和歌山市,51352113,114,－
紀北,和歌山市,51352114,114,－
紀北,和歌山市,51352115,114,164
紀北,和歌山市,51352116,114,164
紀北,和歌山市,51352117,114,164
紀北,和歌山市,51352118,114,164
紀北,和歌山市,51352121,109,157
紀北,和歌山市,51352122,109,157
紀北,和歌山市,51352123,109,157
紀北,和歌山市,51352124,109,157
紀北,和歌山市,51352125,114,164
紀北,和歌山市,51352126,114,164
紀北,和歌山市,51352127,114,164
紀北,和歌山市,51352128,114,164
紀北,和歌山市,51352129,114,164
紀北,和歌山市,51352131,109,157
紀北,和歌山市,51352132,109,157
紀北,和歌山市,51352133,109,157
紀北,和歌山市,51352134,109,157
紀北,和歌山市,51352135,114,164
紀北,和歌山市,51352136,114,164
紀北,和歌山市,51352137,114,164
紀北,和歌山市,51352138,114,164
紀北,和歌山市,51352139,114,164
紀北,和歌山市,51352141,132,－
紀北,和歌山市,51352142,121,173
紀北,和歌山市,51352143,121,173
紀北,和歌山市,51352144,121,173
紀北,和歌山市,51352145,126,180
紀北,和歌山市,51352146,126,180
紀北,和歌山市,51352147,126,－
紀北,和歌山市,51352148,126,180
紀北,和歌山市,51352149,126,180
紀北,和歌山市,51352151,132,－
紀北,和歌山市,51352152,121,173
紀北,和歌山市,51352153,132,－
紀北,和歌山市,51352154,132,－
紀北,和歌山市,51352155,132,－
紀北,和歌山市,51352156,126,180
紀北,和歌山市,51352157,126,180
紀北,和歌山市,51352158,126,180
紀北,和歌山市,51352159,126,180
紀北,和歌山市,51352161,121,173
紀北,和歌山市,51352162,132,－
紀北,和歌山市,51352163,121,173
紀北,和歌山市,51352164,121,173
紀北,和歌山市,51352165,132,－
紀北,和歌山市,51352166,126,180
紀北,和歌山市,51352167,126,180
紀北,和歌山市,51352168,126,180
紀北,和歌山市,51352169,126,180
紀北,和歌山市,51352170,132,－
紀北,和歌山市,51352171,132,－
紀北,和歌山市,51352172,132,－
紀北,和歌山市,51352173,121,173
紀北,和歌山市,51352174,132,－
紀北,和歌山市,51352175,132,－
紀北,和歌山市,51352176,132,－
紀北,和歌山市,51352177,126,180
紀北,和歌山市,51352178,126,180
紀北,和歌山市,51352179,126,180
紀北,和歌山市,51352180,132,－
紀北,和歌山市,51352181,132,－
紀北,和歌山市,51352182,132,－
紀北,和歌山市,51352183,132,－
紀北,和歌山市,51352184,132,－
紀北,和歌山市,51352185,132,－
紀北,和歌山市,51352186,132,－
紀北,和歌山市,51352187,126,180
紀北,和歌山市,51352188,126,180
紀北,和歌山市,51352189,132,－
紀北,和歌山市,51352190,132,－
紀北,和歌山市,51352191,132,－
紀北,和歌山市,51352192,132,－
紀北,和歌山市,51352193,132,－
紀北,和歌山市,51352194,132,－
紀北,和歌山市,51352195,132,－
紀北,和歌山市,51352196,132,－
紀北,和歌山市,51352197,132,－
紀北,和歌山市,51352198,132,－
紀北,和歌山市,51352199,132,－
紀北,和歌山市,51352210,105,150
紀北,和歌山市,51352211,105,150
紀北,和歌山市,51352212,105,150
紀北,和歌山市,51352220,105,150
紀北,和歌山市,51352221,105,150
紀北,和歌山市,51352230,105,150
紀北,和歌山市,51352231,105,150
紀北,和歌山市,51352232,105,150
紀北,和歌山市,51352240,118,169
紀北,和歌山市,51352241,118,169
紀北,和歌山市,51352242,118,169
紀北,和歌山市,51352250,118,169
紀北,和歌山市,51352251,118,169
紀北,和歌山市,51352260,118,169
紀北,和歌山市,51352261,118,169
紀北,和歌山市,51352270,118,169
紀北,和歌山市,51352271,118,169
紀北,和歌山市,51352272,118,169
紀北,和歌山市,51352280,118,169
紀北,和歌山市,51352281,118,169
紀北,和歌山市,51352282,118,169
紀北,和歌山市,51352283,118,169
紀北,和歌山市,51352284,118,169
紀北,和歌山市,51352290,132,－
紀北,和歌山市,51352291,132,－
紀北,和歌山市,51352292,132,－
紀北,和歌山市,51352293,132,－
紀北,和歌山市,51352294,118,169
紀北,和歌山市,51353007,132,－
紀北,和歌山市,51353008,132,－
紀北,和歌山市,51353009,132,－
紀北,和歌山市,51353014,129,－
紀北,和歌山市,51353015,129,185
紀北,和歌山市,51353016,129,185
紀北,和歌山市,51353017,129,185
紀北,和歌山市,51353018,129,185
紀北,和歌山市,51353019,129,185
紀北,和歌山市,51353025,129,185
紀北,和歌山市,51353026,129,185
紀北,和歌山市,51353027,129,185
紀北,和歌山市,51353028,129,185
紀北,和歌山市,51353029,129,185
紀北,和歌山市,51353030,129,185
紀北,和歌山市,51353031,129,－
紀北,和歌山市,51353035,129,185
紀北,和歌山市,51353036,129,185
紀北,和歌山市,51353037,129,185
紀北,和歌山市,51353038,129,185
紀北,和歌山市,51353040,129,185
紀北,和歌山市,51353041,129,－
紀北,和歌山市,51353045,129,185
紀北,和歌山市,51353046,129,185
紀北,和歌山市,51353047,129,185
紀北,和歌山市,51353051,129,－
紀北,和歌山市,51353052,129,－
紀北,和歌山市,51353053,129,－
紀北,和歌山市,51353054,129,－
紀北,和歌山市,51353055,129,185
紀北,和歌山市,51353056,129,185
紀北,和歌山市,51353057,129,185
紀北,和歌山市,51353065,129,－
紀北,和歌山市,51353066,127,182
紀北,和歌山市,51353067,127,182
紀北,和歌山市,51353100,132,－
紀北,和歌山市,51353101,132,－
紀北,和歌山市,51353102,132,－
紀北,和歌山市,51353103,132,－
紀北,和歌山市,51353104,132,－
紀北,和歌山市,51353105,132,－
紀北,和歌山市,51353106,132,－
紀北,和歌山市,51353107,132,－
紀北,和歌山市,51353108,132,－
紀北,和歌山市,51353109,132,－
紀北,和歌山市,51353110,130,187
紀北,和歌山市,51353111,130,187
紀北,和歌山市,51353112,130,187
紀北,和歌山市,51353113,130,187
紀北,和歌山市,51353114,130,187
紀北,和歌山市,51353115,132,189
紀北,和歌山市,51353116,132,189
紀北,和歌山市,51353117,132,189
紀北,和歌山市,51353118,132,189
紀北,和歌山市,51353119,132,－
紀北,和歌山市,51353120,130,187
紀北,和歌山市,51353121,130,187
紀北,和歌山市,51353122,130,187
紀北,和歌山市,51353123,130,187
紀北,和歌山市,51353124,130,187
紀北,和歌山市,51353125,132,189
紀北,和歌山市,51353126,132,189
紀北,和歌山市,51353127,132,189
紀北,和歌山市,51353128,132,189
紀北,和歌山市,51353129,132,189
紀北,和歌山市,51353131,130,187
紀北,和歌山市,51353133,130,187
紀北,和歌山市,51353134,130,187
紀北,和歌山市,51353135,132,189
紀北,和歌山市,51353136,132,189
紀北,和歌山市,51353137,132,189
紀北,和歌山市,51353138,132,189
紀北,和歌山市,51353139,132,189
紀北,和歌山市,51353146,132,189
紀北,和歌山市,51353147,132,189
紀北,和歌山市,51353148,132,189
紀北,和歌山市,51353149,132,189
紀北,和歌山市,51353156,132,189
紀北,和歌山市,51353157,132,189
紀北,和歌山市,51353158,132,189
紀北,和歌山市,51353159,132,189
紀北,和歌山市,51353167,130,186
紀北,和歌山市,51353169,130,186
紀北,和歌山市,51353200,132,－
紀北,和歌山市,51353201,132,－
紀北,和歌山市,51353203,132,－
紀北,和歌山市,51353210,132,－
紀北,和歌山市,51353211,132,－
紀北,和歌山市,51353220,128,184
紀北,和歌山市,51353221,128,184
紀北,和歌山市,51353230,128,184
紀北,和歌山市,51353231,128,184
紀北,和歌山市,51353240,128,184
紀北,和歌山市,51353241,128,184
紀北,和歌山市,51353250,128,184
紀北,和歌山市,51353251,128,184
紀北,和歌山市,51353260,128,184
紀北,和歌山市,51353261,128,184
紀北,和歌山市,51353270,128,184
紀北,和歌山市,51353271,128,184
紀北,海南市,51351039,132,189
紀北,海南市,51351049,132,189
紀北,海南市,51351059,132,－
紀北,海南市,51351069,132,－
紀北,海南市,51351111,150,215
紀北,海南市,51351112,150,215
紀北,海南市,51351121,132,189
紀北,海南市,51351122,132,189
紀北,海南市,51351123,132,189
紀北,海南市,51351124,132,189
紀北,海南市,51351125,132,189
紀北,海南市,51351126,132,189
紀北,海南市,51351130,132,189
紀北,海南市,51351131,132,189
紀北,海南市,51351132,132,189
紀北,海南市,51351133,132,189
紀北,海南市,51351134,132,189
紀北,海南市,51351135,132,189
紀北,海南市,51351136,132,189
紀北,海南市,51351137,132,189
紀北,海南市,51351138,132,189
紀北,海南市,51351140,132,189
紀北,海南市,51351141,132,189
紀北,海南市,51351142,132,189
紀北,海南市,51351143,132,189
紀北,海南市,51351144,132,189
紀北,海南市,51351145,132,189
紀北,海南市,51351146,132,189
紀北,海南市,51351147,132,189
紀北,海南市,51351148,132,189
紀北,海南市,51351150,132,189
紀北,海南市,51351151,132,189
紀北,海南市,51351152,132,189
紀北,海南市,51351153,132,189
紀北,海南市,51351154,132,189
紀北,海南市,51351155,132,189
紀北,海南市,51351156,132,189
紀北,海南市,51351157,132,189
紀北,海南市,51351158,132,189
紀北,海南市,51351159,132,189
紀北,海南市,51351160,132,189
紀北,海南市,51351161,132,189
紀北,海南市,51351162,132,189
紀北,海南市,51351163,132,189
紀北,海南市,51351164,132,189
紀北,海南市,51351165,132,189
紀北,海南市,51351166,132,189
紀北,海南市,51351167,132,189
紀北,海南市,51351168,132,189
紀北,海南市,51351169,132,189
紀北,海南市,51351174,132,189
紀北,海南市,51351175,132,189
紀北,海南市,51351176,132,189
紀北,海南市,51351177,132,189
紀北,海南市,51351178,132,189
紀北,海南市,51351179,132,189
紀北,海南市,51351185,114,164
紀北,海南市,51351186,132,－
紀北,海南市,51351187,114,164
紀北,海南市,51351188,114,164
紀北,海南市,51351189,114,164
紀北,海南市,51351196,114,164
紀北,海南市,51351197,114,164
紀北,海南市,51351198,114,164
紀北,海南市,51351199,114,164
紀北,海南市,51351240,127,182
紀北,海南市,51351241,127,182
紀北,海南市,51351242,127,182
紀北,海南市,51351250,127,182
紀北,海南市,51351251,127,182
紀北,海南市,51351252,127,182
紀北,海南市,51351260,127,182
紀北,海南市,51351261,127,182
紀北,海南市,51351262,127,182
紀北,海南市,51351263,127,182
紀北,海南市,51351270,127,182
紀北,海南市,51351271,127,182
紀北,海南市,51351272,127,182
紀北,海南市,51351273,127,182
紀北,海南市,51351280,105,150
紀北,海南市,51351281,105,150
紀北,海南市,51351282,105,150
紀北,海南市,51351283,105,150
紀北,海南市,51351290,105,150
紀北,海南市,51351291,105,150
紀北,海南市,51351292,105,150
紀北,海南市,51351293,105,150
紀北,海南市,51352106,114,164
紀北,海南市,51352107,114,164
紀北,海南市,51352108,114,164
紀北,海南市,51352109,114,164
紀北,海南市,51352119,114,164
紀北,海南市,51352200,105,150
紀北,海南市,51352201,105,150
紀北,海南市,51352202,105,150
紀北,海南市,51352203,105,150
紀北,海南市,51352213,105,150
紀北,海南市,51352214,105,150
紀北,海南市,51352222,105,150
紀北,海南市,51352223,105,150
紀北,海南市,51352224,105,150
紀北,海南市,51352233,105,150
紀北,海南市,51352234,105,150
紀北,橋本市,51352592,137,197
紀北,橋本市,51353446,129,185
紀北,橋本市,51353447,129,185
紀北,橋本市,51353448,129,185
紀北,橋本市,51353449,129,185
紀北,橋本市,51353454,128,184
紀北,橋本市,51353456,129,185
紀北,橋本市,51353457,129,185
紀北,橋本市,51353458,129,185
紀北,橋本市,51353459,129,185
紀北,橋本市,51353463,128,183
紀北,橋本市,51353464,128,183
紀北,橋本市,51353465,124,178
紀北,橋本市,51353466,124,178
紀北,橋本市,51353467,124,178
紀北,橋本市,51353468,124,178
紀北,橋本市,51353469,124,178
紀北,橋本市,51353473,128,183
紀北,橋本市,51353474,128,183
紀北,橋本市,51353475,124,178
紀北,橋本市,51353476,124,178
紀北,橋本市,51353477,124,178
紀北,橋本市,51353478,124,178
紀北,橋本市,51353479,124,178
紀北,橋本市,51353483,128,183
紀北,橋本市,51353484,128,183
紀北,橋本市,51353485,124,178
紀北,橋本市,51353486,124,178
紀北,橋本市,51353487,124,178
紀北,橋本市,51353488,124,178
紀北,橋本市,51353489,124,178
紀北,橋本市,51353492,128,183
紀北,橋本市,51353493,128,183
紀北,橋本市,51353494,128,183
紀北,橋本市,51353495,124,178
紀北,橋本市,51353496,124,178
紀北,橋本市,51353497,124,178
紀北,橋本市,51353498,124,178
紀北,橋本市,51353499,124,178
紀北,橋本市,51353501,135,193
紀北,橋本市,51353502,135,193
紀北,橋本市,51353503,135,193
紀北,橋本市,51353511,135,193
紀北,橋本市,51353512,135,193
紀北,橋本市,51353513,135,193
紀北,橋本市,51353521,135,193
紀北,橋本市,51353522,135,193
紀北,橋本市,51353523,135,193
紀北,橋本市,51353530,135,193
紀北,橋本市,51353531,135,193
紀北,橋本市,51353532,135,193
紀北,橋本市,51353533,135,193
紀北,橋本市,51353540,135,193
紀北,橋本市,51353541,135,193
紀北,橋本市,51353542,135,193
紀北,橋本市,51353543,135,193
紀北,橋本市,51353550,135,193
紀北,橋本市,51353551,135,193
紀北,橋本市,51353552,135,193
紀北,橋本市,51353553,135,193
紀北,橋本市,51353560,123,176
紀北,橋本市,51353561,123,176
紀北,橋本市,51353562,123,176
紀北,橋本市,51353570,123,176
紀北,橋本市,51353571,123,176
紀北,橋本市,51353572,123,176
紀北,橋本市,51353580,123,176
紀北,橋本市,51353581,123,176
紀北,橋本市,51353582,123,176
紀北,橋本市,51353590,123,176
紀北,橋本市,51353591,123,176
紀北,橋本市,51353592,123,176
紀北,橋本市,51354402,128,183
紀北,橋本市,51354403,128,183
紀北,橋本市,51354404,128,183
紀北,橋本市,51354405,124,178
紀北,橋本市,51354406,124,178
紀北,橋本市,51354407,124,178
紀北,橋本市,51354408,124,178
紀北,橋本市,51354409,124,178
紀北,橋本市,51354412,128,183
紀北,橋本市,51354413,128,183
紀北,橋本市,51354414,128,183
紀北,橋本市,51354415,124,178
紀北,橋本市,51354416,124,178
紀北,橋本市,51354417,124,178
紀北,橋本市,51354418,124,178
紀北,橋本市,51354419,124,178
紀北,橋本市,51354423,129,185
紀北,橋本市,51354424,129,185
紀北,橋本市,51354425,116,166
紀北,橋本市,51354426,116,166
紀北,橋本市,51354427,116,166
紀北,橋本市,51354428,116,166
紀北,橋本市,51354429,116,166
紀北,橋本市,51354435,116,166
紀北,橋本市,51354436,116,166
紀北,橋本市,51354437,116,166
紀北,橋本市,51354438,116,166
紀北,橋本市,51354439,116,166
紀北,橋本市,51354445,116,166
紀北,橋本市,51354446,116,166
紀北,橋本市,51354447,116,166
紀北,橋本市,51354448,116,166
紀北,橋本市,51354449,116,166
紀北,橋本市,51354459,116,166
紀北,橋本市,51354500,123,176
紀北,橋本市,51354501,123,176
紀北,橋本市,51354502,123,176
紀北,橋本市,51354510,123,176
紀北,橋本市,51354511,123,176
紀北,橋本市,51354512,123,176
紀北,橋本市,51354520,126,180
紀北,橋本市,51354521,126,180
紀北,橋本市,51354522,126,180
紀北,橋本市,51354530,126,180
紀北,橋本市,51354531,126,180
紀北,橋本市,51354532,126,180
紀北,橋本市,51354540,126,180
紀北,橋本市,51354541,126,180
紀北,橋本市,51354550,126,180
紀北,橋本市,51354551,126,180
紀北,紀の川市,51352228,122,175
紀北,紀の川市,51352229,122,175
紀北,紀の川市,51352235,122,175
紀北,紀の川市,51352236,122,175
紀北,紀の川市,51352237,122,175
紀北,紀の川市,51352238,122,175
紀北,紀の川市,51352239,122,175
紀北,紀の川市,51352243,118,169
紀北,紀の川市,51352244,118,169
紀北,紀の川市,51352245,112,161
紀北,紀の川市,51352246,112,161
紀北,紀の川市,51352247,112,161
紀北,紀の川市,51352248,112,161
紀北,紀の川市,51352249,112,161
紀北,紀の川市,51352252,118,169
紀北,紀の川市,51352253,118,169
紀北,紀の川市,51352254,118,169
紀北,紀の川市,51352255,112,161
紀北,紀の川市,51352256,112,161
紀北,紀の川市,51352257,112,161
紀北,紀の川市,51352258,112,161
紀北,紀の川市,51352259,112,161
紀北,紀の川市,51352262,118,169
紀北,紀の川市,51352263,118,169
紀北,紀の川市,51352264,118,169
紀北,紀の川市,51352265,112,161
紀北,紀の川市,51352266,112,161
紀北,紀の川市,51352267,112,161
紀北,紀の川市,51352268,112,161
紀北,紀の川市,51352269,112,161
紀北,紀の川市,51352273,118,169
紀北,紀の川市,51352274,118,169
紀北,紀の川市,51352275,112,161
紀北,紀の川市,51352276,112,161
紀北,紀の川市,51352277,112,161
紀北,紀の川市,51352278,112,161
紀北,紀の川市,51352279,112,161
紀北,紀の川市,51352285,112,161
紀北,紀の川市,51352286,112,161
紀北,紀の川市,51352287,112,161
紀北,紀の川市,51352288,112,161
紀北,紀の川市,51352289,112,161
紀北,紀の川市,51352296,112,161
紀北,紀の川市,51352297,132,－
紀北,紀の川市,51352298,112,161
紀北,紀の川市,51352299,112,161
紀北,紀の川市,51352314,135,194
紀北,紀の川市,51352315,140,200
紀北,紀の川市,51352320,135,194
紀北,紀の川市,51352321,135,194
紀北,紀の川市,51352322,135,194
紀北,紀の川市,51352323,135,194
紀北,紀の川市,51352324,135,194
紀北,紀の川市,51352325,140,200
紀北,紀の川市,51352326,140,200
紀北,紀の川市,51352330,135,194
紀北,紀の川市,51352331,135,194
紀北,紀の川市,51352332,135,194
紀北,紀の川市,51352333,135,194
紀北,紀の川市,51352334,135,194
紀北,紀の川市,51352335,140,200
紀北,紀の川市,51352336,140,200
紀北,紀の川市,51352340,121,174
紀北,紀の川市,51352341,121,174
紀北,紀の川市,51352342,121,174
紀北,紀の川市,51352343,121,174
紀北,紀の川市,51352344,121,174
紀北,紀の川市,51352345,127,182
紀北,紀の川市,51352346,127,182
紀北,紀の川市,51352347,127,182
紀北,紀の川市,51352350,121,174
紀北,紀の川市,51352351,121,174
紀北,紀の川市,51352352,121,174
紀北,紀の川市,51352353,121,174
紀北,紀の川市,51352354,121,174
紀北,紀の川市,51352355,127,182
紀北,紀の川市,51352356,127,182
紀北,紀の川市,51352357,127,182
紀北,紀の川市,51352358,127,182
紀北,紀の川市,51352360,121,174
紀北,紀の川市,51352361,121,174
紀北,紀の川市,51352362,121,174
紀北,紀の川市,51352363,121,174
紀北,紀の川市,51352364,121,174
紀北,紀の川市,51352365,127,182
紀北,紀の川市,51352366,127,182
紀北,紀の川市,51352367,127,182
紀北,紀の川市,51352368,127,182
紀北,紀の川市,51352370,121,174
紀北,紀の川市,51352371,121,174
紀北,紀の川市,51352372,121,174
紀北,紀の川市,51352373,121,174
紀北,紀の川市,51352374,121,174
紀北,紀の川市,51352375,127,182
紀北,紀の川市,51352376,127,182
紀北,紀の川市,51352377,127,182
紀北,紀の川市,51352378,127,182
紀北,紀の川市,51352380,121,174
紀北,紀の川市,51352381,121,174
紀北,紀の川市,51352382,121,174
紀北,紀の川市,51352383,121,174
紀北,紀の川市,51352384,121,174
紀北,紀の川市,51352385,127,182
紀北,紀の川市,51352386,127,182
紀北,紀の川市,51352387,127,182
紀北,紀の川市,51352388,127,182
紀北,紀の川市,51352390,121,174
紀北,紀の川市,51352391,121,174
紀北,紀の川市,51352392,121,174
紀北,紀の川市,51352393,121,174
紀北,紀の川市,51352394,121,174
紀北,紀の川市,51352395,127,182
紀北,紀の川市,51352396,127,182
紀北,紀の川市,51352397,127,182
紀北,紀の川市,51353207,132,－
紀北,紀の川市,51353208,132,－
紀北,紀の川市,51353209,132,－
紀北,紀の川市,51353217,132,－
紀北,紀の川市,51353218,132,－
紀北,紀の川市,51353219,132,－
紀北,紀の川市,51353227,132,－
紀北,紀の川市,51353228,118,169
紀北,紀の川市,51353229,118,169
紀北,紀の川市,51353237,118,169
紀北,紀の川市,51353238,118,169
紀北,紀の川市,51353239,118,169
紀北,紀の川市,51353247,118,169
紀北,紀の川市,51353248,118,169
紀北,紀の川市,51353249,118,169
紀北,紀の川市,51353257,118,169
紀北,紀の川市,51353258,118,169
紀北,紀の川市,51353259,118,169
紀北,紀の川市,51353267,128,184
紀北,紀の川市,51353268,128,184
紀北,紀の川市,51353269,128,184
紀北,紀の川市,51353276,128,184
紀北,紀の川市,51353277,128,184
紀北,紀の川市,51353278,128,184
紀北,紀の川市,51353279,128,184
紀北,紀の川市,51353286,128,184
紀北,紀の川市,51353287,128,184
紀北,紀の川市,51353288,128,184
紀北,紀の川市,51353289,128,184
紀北,紀の川市,51353297,128,184
紀北,紀の川市,51353298,128,184
紀北,紀の川市,51353299,128,184
紀北,紀の川市,51353300,105,151
紀北,紀の川市,51353301,105,151
紀北,紀の川市,51353302,105,151
紀北,紀の川市,51353303,105,151
紀北,紀の川市,51353304,105,151
紀北,紀の川市,51353305,117,168
紀北,紀の川市,51353306,117,168
紀北,紀の川市,51353310,132,－
紀北,紀の川市,51353311,132,－
紀北,紀の川市,51353312,105,151
紀北,紀の川市,51353313,105,151
紀北,紀の川市,51353314,105,151
紀北,紀の川市,51353315,117,168
紀北,紀の川市,51353316,117,168
紀北,紀の川市,51353320,132,－
紀北,紀の川市,51353321,105,151
紀北,紀の川市,51353322,105,151
紀北,紀の川市,51353323,105,151
紀北,紀の川市,51353324,105,151
紀北,紀の川市,51353325,117,168
紀北,紀の川市,51353326,117,168
紀北,紀の川市,51353330,105,151
紀北,紀の川市,51353331,105,151
紀北,紀の川市,51353332,105,151
紀北,紀の川市,51353333,105,151
紀北,紀の川市,51353334,105,151
紀北,紀の川市,51353335,117,168
紀北,紀の川市,51353340,105,151
紀北,紀の川市,51353341,105,151
紀北,紀の川市,51353342,105,151
紀北,紀の川市,51353343,105,151
紀北,紀の川市,51353344,105,151
紀北,紀の川市,51353345,117,168
紀北,紀の川市,51353350,105,151
紀北,紀の川市,51353351,105,151
紀北,紀の川市,51353352,105,151
紀北,紀の川市,51353353,105,151
紀北,紀の川市,51353354,105,151
紀北,紀の川市,51353355,117,168
紀北,紀の川市,51353360,128,184
紀北,紀の川市,51353361,128,184
紀北,紀の川市,51353362,128,184
紀北,紀の川市,51353363,128,184
紀北,紀の川市,51353364,128,184
紀北,紀の川市,51353365,134,192
紀北,紀の川市,51353366,134,192
紀北,紀の川市,51353370,128,184
紀北,紀の川市,51353371,128,184
紀北,紀の川市,51353372,128,184
紀北,紀の川市,51353373,128,184
紀北,紀の川市,51353374,128,184
紀北,紀の川市,51353375,134,192
紀北,紀の川市,51353376,134,192
紀北,紀の川市,51353380,128,184
紀北,紀の川市,51353381,128,184
紀北,紀の川市,51353382,128,184
紀北,紀の川市,51353383,128,184
紀北,紀の川市,51353384,128,184
紀北,紀の川市,51353385,134,192
紀北,紀の川市,51353386,134,192
紀北,紀の川市,51353390,128,184
紀北,紀の川市,51353391,128,184
紀北,紀の川市,51353392,128,184
紀北,紀の川市,51353393,128,184
紀北,紀の川市,51353394,128,184
紀北,紀の川市,51353395,134,192
紀北,紀の川市,51353396,134,192
紀北,紀の川市,51354303,128,184
紀北,紀の川市,51354304,128,184
紀北,紀の川市,51354305,134,192
紀北,紀の川市,51354314,128,184
紀北,紀の川市,51354315,134,192
紀北,岩出市,51352295,112,161
紀北,岩出市,51353202,132,－
紀北,岩出市,51353204,132,－
紀北,岩出市,51353205,132,－
紀北,岩出市,51353206,132,－
紀北,岩出市,51353212,132,－
紀北,岩出市,51353213,132,－
紀北,岩出市,51353214,132,－
紀北,岩出市,51353215,132,－
紀北,岩出市,51353216,132,－
紀北,岩出市,51353222,128,184
紀北,岩出市,51353223,128,184
紀北,岩出市,51353224,132,－
紀北,岩出市,51353225,132,－
紀北,岩出市,51353226,132,－
紀北,岩出市,51353232,128,184
紀北,岩出市,51353233,128,184
紀北,岩出市,51353234,128,184
紀北,岩出市,51353235,118,169
紀北,岩出市,51353236,118,169
紀北,岩出市,51353242,128,184
紀北,岩出市,51353243,128,184
紀北,岩出市,51353244,128,184
紀北,岩出市,51353245,118,169
紀北,岩出市,51353246,118,169
紀北,岩出市,51353252,128,184
紀北,岩出市,51353253,128,184
紀北,岩出市,51353254,128,184
紀北,岩出市,51353255,118,169
紀北,岩出市,51353256,118,169
紀北,岩出市,51353262,128,184
紀北,岩出市,51353264,128,184
紀北,岩出市,51353265,128,184
紀北,岩出市,51353266,128,184
紀北,岩出市,51353272,128,184
紀北,岩出市,51353275,128,184
紀北,紀美野町,51351235,124,178
紀北,紀美野町,51351236,124,178
紀北,紀美野町,51351245,124,178
紀北,紀美野町,51351246,124,178
紀北,紀美野町,51351247,124,178
紀北,紀美野町,51351248,124,178
紀北,紀美野町,51351249,124,178
紀北,紀美野町,51351254,127,182
紀北,紀美野町,51351255,124,178
紀北,紀美野町,51351256,124,178
紀北,紀美野町,51351257,124,178
紀北,紀美野町,51351258,124,178
紀北,紀美野町,51351259,124,178
紀北,紀美野町,51351264,127,182
紀北,紀美野町,51351265,124,178
紀北,紀美野町,51351266,124,178
紀北,紀美野町,51351267,124,178
紀北,紀美野町,51351268,124,178
紀北,紀美野町,51351269,124,178
紀北,紀美野町,51351274,127,182
紀北,紀美野町,51351275,124,178
紀北,紀美野町,51351276,124,178
紀北,紀美野町,51351277,124,178
紀北,紀美野町,51351278,124,178
紀北,紀美野町,51351279,124,178
紀北,紀美野町,51351284,105,150
紀北,紀美野町,51351285,122,175
紀北,紀美野町,51351286,122,175
紀北,紀美野町,51351287,122,175
紀北,紀美野町,51351288,122,175
紀北,紀美野町,51351289,122,175
紀北,紀美野町,51351294,105,150
紀北,紀美野町,51351295,122,175
紀北,紀美野町,51351296,122,175
紀北,紀美野町,51351297,122,175
紀北,紀美野町,51351298,122,175
紀北,紀美野町,51351299,122,175
紀北,紀美野町,51351342,142,204
紀北,紀美野町,51351343,142,204
紀北,紀美野町,51351344,142,204
紀北,紀美野町,51351350,142,204
紀北,紀美野町,51351351,142,204
紀北,紀美野町,51351352,142,204
紀北,紀美野町,51351353,142,204
紀北,紀美野町,51351354,142,204
紀北,紀美野町,51351355,146,209
紀北,紀美野町,51351360,142,204
紀北,紀美野町,51351361,142,204
紀北,紀美野町,51351362,142,204
紀北,紀美野町,51351363,142,204
紀北,紀美野町,51351364,142,204
紀北,紀美野町,51351365,146,209
紀北,紀美野町,51351366,146,209
紀北,紀美野町,51351370,142,204
紀北,紀美野町,51351371,142,204
紀北,紀美野町,51351372,142,204
紀北,紀美野町,51351373,142,204
紀北,紀美野町,51351374,142,204
紀北,紀美野町,51351375,146,209
紀北,紀美野町,51351376,146,209
紀北,紀美野町,51351377,146,209
紀北,紀美野町,51351380,135,194
紀北,紀美野町,51351381,135,194
紀北,紀美野町,51351382,135,194
紀北,紀美野町,51351383,135,194
紀北,紀美野町,51351384,135,194
紀北,紀美野町,51351385,140,200
紀北,紀美野町,51351386,140,200
紀北,紀美野町,51351387,140,200
紀北,紀美野町,51351388,140,200
紀北,紀美野町,51351390,135,194
紀北,紀美野町,51351391,135,194
紀北,紀美野町,51351392,135,194
紀北,紀美野町,51351393,135,194
紀北,紀美野町,51351394,135,194
紀北,紀美野町,51351395,140,200
紀北,紀美野町,51351396,140,200
紀北,紀美野町,51351397,140,200
紀北,紀美野町,51351398,140,200
紀北,紀美野町,51352204,105,150
紀北,紀美野町,51352205,122,175
紀北,紀美野町,51352206,122,175
紀北,紀美野町,51352207,122,175
紀北,紀美野町,51352208,122,175
紀北,紀美野町,51352209,122,175
紀北,紀美野町,51352215,122,175
紀北,紀美野町,51352216,122,175
紀北,紀美野町,51352217,122,175
紀北,紀美野町,51352218,122,175
紀北,紀美野町,51352219,122,175
紀北,紀美野町,51352225,122,175
紀北,紀美野町,51352226,122,175
