（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和4年5月26日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
徳島・鳴門,徳島市,51340494,185,－,
徳島・鳴門,徳島市,51340495,185,－,
徳島・鳴門,徳島市,51340496,185,－,
徳島・鳴門,徳島市,51340497,185,－,
徳島・鳴門,徳島市,51341307,185,－,
徳島・鳴門,徳島市,51341308,185,－,
徳島・鳴門,徳島市,51341309,185,－,
徳島・鳴門,徳島市,51341316,185,－,
徳島・鳴門,徳島市,51341317,185,－,
徳島・鳴門,徳島市,51341318,185,－,
徳島・鳴門,徳島市,51341319,185,－,
徳島・鳴門,徳島市,51341327,185,－,
徳島・鳴門,徳島市,51341328,185,－,
徳島・鳴門,徳島市,51341329,185,－,
徳島・鳴門,徳島市,51341337,185,－,
徳島・鳴門,徳島市,51341400,185,－,
徳島・鳴門,徳島市,51341401,185,－,
徳島・鳴門,徳島市,51341402,185,－,
徳島・鳴門,徳島市,51341403,185,－,
徳島・鳴門,徳島市,51341404,185,－,
徳島・鳴門,徳島市,51341405,185,－,
徳島・鳴門,徳島市,51341406,185,－,
徳島・鳴門,徳島市,51341407,185,－,
徳島・鳴門,徳島市,51341408,185,－,
徳島・鳴門,徳島市,51341410,185,－,
徳島・鳴門,徳島市,51341411,185,－,
徳島・鳴門,徳島市,51341412,185,－,
徳島・鳴門,徳島市,51341413,185,－,
徳島・鳴門,徳島市,51341414,185,－,
徳島・鳴門,徳島市,51341415,185,－,
徳島・鳴門,徳島市,51341416,185,－,
徳島・鳴門,徳島市,51341417,185,－,
徳島・鳴門,徳島市,51341418,185,－,
徳島・鳴門,徳島市,51341420,185,－,
徳島・鳴門,徳島市,51341421,185,－,
徳島・鳴門,徳島市,51341422,185,－,
徳島・鳴門,徳島市,51341423,185,－,
徳島・鳴門,徳島市,51341424,185,－,
徳島・鳴門,徳島市,51341425,185,－,
徳島・鳴門,徳島市,51341426,185,－,
徳島・鳴門,徳島市,51341427,185,－,
徳島・鳴門,徳島市,51341430,185,－,
徳島・鳴門,徳島市,51341431,185,－,
徳島・鳴門,徳島市,51341432,185,－,
徳島・鳴門,徳島市,51341435,185,－,
徳島・鳴門,徳島市,51341436,185,－,
